,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
191,48.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.833174008887972,U104,20180412
192,49.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.9389736824947033,U104,20180412
193,49.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.8068690128897877,U104,20180412
194,49.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.083943568557514,U104,20180412
195,49.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,4.951403708569423,U104,20180412
196,49.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.23922916418561,U104,20180412
197,49.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,2.9895237036963773,U104,20180412
198,49.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.156148412958059,U104,20180412
199,49.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,4.98125269679349,U104,20180412
200,50.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,1.979420335206928,U104,20180412
201,50.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.872916601156169,U104,20180412
202,50.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.194331948664514,U104,20180412
203,50.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.095971748665654,U104,20180412
204,50.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.287644040316393,U104,20180412
205,50.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.0611881427395513,U104,20180412
206,50.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.269150728584508,U104,20180412
207,50.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.127020471625606,U104,20180412
208,51.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.0195645978491514,U104,20180412
209,51.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,2.9382227272358046,U104,20180412
210,51.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.30325798274096,U104,20180412
211,51.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.238634222349977,U104,20180412
212,51.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.3356046004258837,U104,20180412
213,51.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.13201199714919,U104,20180412
214,51.0,3.1,0.4,1,750,Allura Clarity,Plane B,11,4.380649256744254,U104,20180412
215,51.0,3.1,0.9,1,750,Allura Clarity,Plane B,11,5.270877832636349,U104,20180412
216,52.0,3.1,0.0,0,750,Allura Clarity,Plane B,11,2.0593033620307564,U104,20180412
217,52.0,3.1,0.1,0,750,Allura Clarity,Plane B,11,3.0027102872603786,U104,20180412
218,52.0,3.1,0.4,0,750,Allura Clarity,Plane B,11,4.41057128044821,U104,20180412
219,52.0,3.1,0.9,0,750,Allura Clarity,Plane B,11,5.379182118720446,U104,20180412
220,52.0,3.1,0.0,1,750,Allura Clarity,Plane B,11,2.383026991121259,U104,20180412
221,52.0,3.1,0.1,1,750,Allura Clarity,Plane B,11,3.20191432532251,U104,20180412
