kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,h,comment
70,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.23,0.863,Inherent filtration measured in lab 106 - 2018-03-28
70,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.84,0.891,Inherent filtration measured in lab 106 - 2018-03-28
70,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.03,0.936,Inherent filtration measured in lab 106 - 2018-03-28
70,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.74,0.957,Inherent filtration measured in lab 106 - 2018-03-28
71,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.28,0.748,Inherent filtration measured in lab 106 - 2018-03-28
71,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.47,0.818,Inherent filtration measured in lab 106 - 2018-03-28
71,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.3,0.861,Inherent filtration measured in lab 106 - 2018-03-28
71,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,5.93,0.89,Inherent filtration measured in lab 106 - 2018-03-28
71,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.13,0.935,Inherent filtration measured in lab 106 - 2018-03-28
71,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.85,0.957,Inherent filtration measured in lab 106 - 2018-03-28
72,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.33,0.745,Inherent filtration measured in lab 106 - 2018-03-28
72,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.54,0.817,Inherent filtration measured in lab 106 - 2018-03-28
72,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.38,0.86,Inherent filtration measured in lab 106 - 2018-03-28
72,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.01,0.889,Inherent filtration measured in lab 106 - 2018-03-28
72,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.24,0.935,Inherent filtration measured in lab 106 - 2018-03-28
72,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,7.96,0.956,Inherent filtration measured in lab 106 - 2018-03-28
73,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.38,0.743,Inherent filtration measured in lab 106 - 2018-03-28
73,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.6,0.815,Inherent filtration measured in lab 106 - 2018-03-28
73,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.46,0.859,Inherent filtration measured in lab 106 - 2018-03-28
73,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.1,0.888,Inherent filtration measured in lab 106 - 2018-03-28
73,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.34,0.934,Inherent filtration measured in lab 106 - 2018-03-28
73,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.07,0.956,Inherent filtration measured in lab 106 - 2018-03-28
74,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.43,0.741,Inherent filtration measured in lab 106 - 2018-03-28
74,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.67,0.813,Inherent filtration measured in lab 106 - 2018-03-28
74,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.54,0.857,Inherent filtration measured in lab 106 - 2018-03-28
74,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.19,0.887,Inherent filtration measured in lab 106 - 2018-03-28
74,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.44,0.934,Inherent filtration measured in lab 106 - 2018-03-28
74,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.18,0.956,Inherent filtration measured in lab 106 - 2018-03-28
75,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.47,0.739,Inherent filtration measured in lab 106 - 2018-03-28
75,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.73,0.812,Inherent filtration measured in lab 106 - 2018-03-28
75,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.61,0.856,Inherent filtration measured in lab 106 - 2018-03-28
75,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.27,0.886,Inherent filtration measured in lab 106 - 2018-03-28
75,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.54,0.933,Inherent filtration measured in lab 106 - 2018-03-28
75,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.29,0.955,Inherent filtration measured in lab 106 - 2018-03-28
76,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.52,0.737,Inherent filtration measured in lab 106 - 2018-03-28
76,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.8,0.81,Inherent filtration measured in lab 106 - 2018-03-28
76,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.69,0.855,Inherent filtration measured in lab 106 - 2018-03-28
76,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.35,0.885,Inherent filtration measured in lab 106 - 2018-03-28
76,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.63,0.933,Inherent filtration measured in lab 106 - 2018-03-28
76,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.38,0.955,Inherent filtration measured in lab 106 - 2018-03-28
77,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.57,0.735,Inherent filtration measured in lab 106 - 2018-03-28
77,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.86,0.809,Inherent filtration measured in lab 106 - 2018-03-28
77,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.76,0.854,Inherent filtration measured in lab 106 - 2018-03-28
77,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.44,0.884,Inherent filtration measured in lab 106 - 2018-03-28
77,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.72,0.933,Inherent filtration measured in lab 106 - 2018-03-28
77,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.48,0.955,Inherent filtration measured in lab 106 - 2018-03-28
78,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.62,0.733,Inherent filtration measured in lab 106 - 2018-03-28
78,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.93,0.808,Inherent filtration measured in lab 106 - 2018-03-28
78,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.84,0.853,Inherent filtration measured in lab 106 - 2018-03-28
78,4.1,0.3,0,770,AXIOM-Artis,Single Plane,8,6.52,0.884,Inherent filtration measured in lab 106 - 2018-03-28
78,4.1,0.6,0,770,AXIOM-Artis,Single Plane,8,7.82,0.933,Inherent filtration measured in lab 106 - 2018-03-28
78,4.1,0.9,0,770,AXIOM-Artis,Single Plane,8,8.57,0.955,Inherent filtration measured in lab 106 - 2018-03-28
79,4.1,0,0,770,AXIOM-Artis,Single Plane,8,3.67,0.731,Inherent filtration measured in lab 106 - 2018-03-28
79,4.1,0.1,0,770,AXIOM-Artis,Single Plane,8,4.99,0.807,Inherent filtration measured in lab 106 - 2018-03-28
79,4.1,0.2,0,770,AXIOM-Artis,Single Plane,8,5.91,0.853,Inherent filtration measured in lab 106 - 2018-03-28
