,kVp_kV,InherentFiltration_mmAl,AddedFiltration_mmCu,AddedFiltration_mmAl,AddedFiltration_mmAir,DeviceModel,AcquisitionPlane,AnodeAngle_deg,HVL_mmAl,LabName,MeasurementDate
214,51.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,4.41752530280403,U601,20180418
215,51.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,5.286558219640917,U601,20180418
216,52.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.228546956348537,U601,20180418
217,52.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,3.1054240671594866,U601,20180418
218,52.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.451175012443436,U601,20180418
219,52.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,5.396049464571662,U601,20180418
220,52.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.525055242977172,U601,20180418
221,52.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,3.2928506687137946,U601,20180418
222,52.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,4.5285751478940055,U601,20180418
223,52.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,5.428865712632501,U601,20180418
224,53.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.271808741701603,U601,20180418
225,53.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,3.1718946606153926,U601,20180418
226,53.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.558315948946543,U601,20180418
227,53.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,5.535251739450998,U601,20180418
228,53.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.5754639954253498,U601,20180418
229,53.0,3.6,0.1,1,615,Allura Clarity,Single Plane,11,3.3644100934403904,U601,20180418
230,53.0,3.6,0.4,1,615,Allura Clarity,Single Plane,11,4.638131014464928,U601,20180418
231,53.0,3.6,0.9,1,615,Allura Clarity,Single Plane,11,5.569212826175637,U601,20180418
232,54.0,3.6,0.0,0,615,Allura Clarity,Single Plane,11,2.3146772346116964,U601,20180418
233,54.0,3.6,0.1,0,615,Allura Clarity,Single Plane,11,3.237631099012662,U601,20180418
234,54.0,3.6,0.4,0,615,Allura Clarity,Single Plane,11,4.664083652615161,U601,20180418
235,54.0,3.6,0.9,0,615,Allura Clarity,Single Plane,11,5.672605559667298,U601,20180418
236,54.0,3.6,0.0,1,615,Allura Clarity,Single Plane,11,2.6253690474563176,U601,20180418
