kVp_kV,HVL_mmAl,UdivRho,FieldSize_cm
90,3.14,1.023,25
90,3.53,1.024,25
90,4.1,1.025,25
90,4.59,1.026,25
90,5.24,1.028,25
90,5.6,1.029,25
90,6.38,1.032,25
90,6.62,1.033,25
90,7.07,1.034,25
90,7.18,1.035,25
90,8.66,1.041,25
90,9.45,1.045,25
90,9.48,1.046,25
100,3.52,1.025,25
100,3.95,1.026,25
100,4.57,1.028,25
100,5.09,1.029,25
100,5.79,1.032,25
100,6.17,1.033,25
100,6.97,1.036,25
100,7.23,1.037,25
100,7.69,1.039,25
100,7.81,1.039,25
100,9.3,1.046,25
100,10.1,1.051,25
100,10.14,1.051,25
110,3.91,1.028,25
110,4.37,1.029,25
110,5.02,1.031,25
110,5.57,1.033,25
110,6.3,1.035,25
110,6.69,1.036,25
110,7.51,1.04,25
110,7.77,1.041,25
110,8.23,1.043,25
110,8.35,1.043,25
110,9.85,1.05,25
110,10.67,1.055,25
110,10.7,1.055,25
120,4.31,1.03,25
120,4.79,1.032,25
120,5.47,1.034,25
120,6.04,1.036,25
120,6.78,1.038,25
120,7.18,1.04,25
120,8.01,1.043,25
120,8.27,1.044,25
120,8.73,1.046,25
120,8.85,1.047,25
120,10.34,1.054,25
120,11.17,1.058,25
120,11.21,1.059,25
130,4.71,1.033,25
130,5.21,1.034,25
130,5.91,1.037,25
130,6.49,1.038,25
130,7.24,1.041,25
130,7.63,1.043,25
130,8.46,1.046,25
130,8.72,1.047,25
130,9.18,1.049,25
130,9.3,1.05,25
130,10.79,1.057,25
130,11.62,1.062,25
130,11.66,1.062,25
140,5.11,1.035,25
140,5.62,1.037,25
140,6.34,1.039,25
140,6.92,1.041,25
140,7.67,1.044,25
140,8.07,1.045,25
140,8.89,1.049,25
140,9.14,1.05,25
140,9.59,1.052,25
140,9.71,1.052,25
140,11.2,1.06,25
140,12.04,1.065,25
140,12.09,1.065,25
150,5.52,1.038,25
150,6.04,1.039,25
150,6.75,1.042,25
150,7.34,1.044,25
150,8.09,1.047,25
150,8.48,1.048,25
150,9.29,1.051,25
150,9.54,1.053,25
150,9.98,1.055,25
150,10.1,1.055,25
150,11.58,1.063,25
150,12.44,1.067,25
150,12.48,1.068,25
50,1.78,1.016,35
50,1.99,1.016,35
50,2.3,1.015,35
50,2.57,1.015,35
50,2.89,1.015,35
50,3.09,1.015,35
50,3.49,1.015,35
50,3.62,1.016,35
50,3.85,1.016,35
50,3.91,1.016,35
50,4.7,1.017,35
50,5.13,1.019,35
50,5.15,1.019,35
60,2.11,1.017,35
60,2.37,1.017,35
60,2.76,1.017,35
60,3.09,1.017,35
60,3.51,1.017,35
60,3.76,1.018,35
60,4.28,1.019,35
60,4.45,1.019,35
60,4.76,1.02,35
60,4.84,1.02,35
60,5.9,1.023,35
60,6.49,1.025,35
60,6.51,1.025,35
70,2.43,1.018,35
70,2.73,1.019,35
70,3.18,1.019,35
70,3.57,1.019,35
70,4.08,1.02,35
70,4.36,1.021,35
70,4.99,1.023,35
70,5.2,1.023,35
70,5.56,1.024,35
70,5.66,1.025,35
70,6.94,1.03,35
70,7.65,1.033,35
70,7.68,1.033,35
80,2.77,1.02,35
80,3.12,1.021,35
80,3.63,1.022,35
80,4.08,1.023,35
80,4.66,1.024,35
80,4.99,1.025,35
80,5.71,1.027,35
80,5.94,1.028,35
80,6.36,1.03,35
80,6.47,1.03,35
80,7.88,1.036,35
80,8.66,1.039,35
80,8.69,1.04,35
90,3.14,1.023,35
90,3.53,1.023,35
90,4.1,1.025,35
90,4.59,1.026,35
90,5.24,1.028,35
90,5.6,1.029,35
90,6.38,1.032,35
90,6.62,1.033,35
90,7.07,1.034,35
90,7.18,1.035,35
90,8.66,1.041,35
90,9.45,1.045,35
90,9.48,1.045,35
100,3.52,1.025,35
100,3.95,1.026,35
100,4.57,1.028,35
100,5.09,1.029,35
100,5.79,1.032,35
100,6.17,1.033,35
100,6.97,1.036,35
100,7.23,1.037,35
100,7.69,1.039,35
100,7.81,1.039,35
100,9.3,1.046,35
100,10.1,1.05,35
100,10.14,1.05,35
110,3.91,1.028,35
110,4.37,1.029,35
110,5.02,1.031,35
110,5.57,1.032,35
110,6.3,1.035,35
110,6.69,1.036,35
110,7.51,1.039,35
110,7.77,1.04,35
110,8.23,1.042,35
110,8.35,1.043,35
110,9.85,1.05,35
110,10.67,1.054,35
110,10.7,1.055,35
120,4.31,1.03,35
120,4.79,1.032,35
120,5.47,1.034,35
120,6.04,1.035,35
120,6.78,1.038,35
120,7.18,1.039,35
120,8.01,1.043,35
