kvp_kV,inherent_filtration_mmAl,added_filtration_mmCu,hvl_mmAl,h,field_side_length_cm,backscatter,mu_en_quotient
140,3.1,0.3,9.71,6.29,10,1.411,1.055
140,3.1,0.6,11.20,7.25,10,1.404,1.063
140,2.5,0.9,12.04,0.94,10,1.393,1.068
140,3.1,0.9,12.09,7.87,10,1.393,1.068
150,2.5,0,5.52,0.64,10,1.363,1.039
150,3.1,0,6.04,4.10,10,1.373,1.041
150,4.1,0,6.75,0.72,10,1.384,1.044
150,5.1,0,7.34,0.75,10,1.391,1.046
150,3.1,0.1,8.09,5.33,10,1.398,1.049
150,4.1,0.1,8.48,0.81,10,1.401,1.050
150,3.1,0.2,9.29,6.06,10,1.404,1.054
150,4.1,0.2,9.54,0.86,10,1.404,1.055
150,2.5,0.3,9.98,0.87,10,1.404,1.057
150,3.1,0.3,10.10,6.57,10,1.404,1.058
150,3.1,0.6,11.58,7.55,10,1.394,1.065
150,2.5,0.9,12.44,0.94,10,1.382,1.070
150,3.1,0.9,12.48,8.20,10,1.381,1.071
50,2.5,0,1.78,0.75,20,1.260,1.016
50,3.1,0,1.99,0.78,20,1.281,1.016
50,4.1,0,2.30,0.81,20,1.309,1.015
50,5.1,0,2.57,0.83,20,1.332,1.015
50,3.1,0.1,2.89,0.85,20,1.359,1.015
50,4.1,0.1,3.09,0.87,20,1.374,1.015
50,3.1,0.2,3.49,0.89,20,1.404,1.015
50,4.1,0.2,3.62,0.90,20,1.414,1.016
50,2.5,0.3,3.85,0.91,20,1.430,1.016
50,3.1,0.3,3.91,0.92,20,1.434,1.016
50,3.1,0.6,4.70,0.96,20,1.485,1.017
50,2.5,0.9,5.13,0.97,20,1.510,1.019
50,3.1,0.9,5.15,0.97,20,1.511,1.019
60,2.5,0,2.11,0.72,20,1.302,1.017
60,3.1,0,2.37,0.74,20,1.325,1.017
60,4.1,0,2.76,0.77,20,1.357,1.017
60,5.1,0,3.09,0.80,20,1.382,1.017
60,3.1,0.1,3.51,0.82,20,1.412,1.017
60,4.1,0.1,3.76,0.84,20,1.428,1.018
60,3.1,0.2,4.28,0.87,20,1.461,1.019
60,4.1,0.2,4.45,0.88,20,1.471,1.019
60,2.5,0.3,4.76,0.89,20,1.489,1.020
60,3.1,0.3,4.84,0.90,20,1.493,1.020
60,3.1,0.6,5.90,0.94,20,1.546,1.023
60,2.5,0.9,6.49,0.96,20,1.571,1.025
60,3.1,0.9,6.51,0.96,20,1.572,1.026
70,2.5,0,2.43,0.69,20,1.335,1.018
70,3.1,0,2.73,0.72,20,1.359,1.019
70,4.1,0,3.18,0.75,20,1.392,1.019
70,5.1,0,3.57,0.77,20,1.417,1.020
70,3.1,0.1,4.08,0.80,20,1.448,1.021
70,4.1,0.1,4.36,0.82,20,1.465,1.021
70,3.1,0.2,4.99,0.85,20,1.497,1.023
70,4.1,0.2,5.20,0.86,20,1.507,1.023
70,2.5,0.3,5.56,0.88,20,1.524,1.025
70,3.1,0.3,5.66,0.88,20,1.528,1.025
70,3.1,0.6,6.94,0.93,20,1.576,1.030
70,2.5,0.9,7.65,0.95,20,1.597,1.033
70,3.1,0.9,7.68,0.96,20,1.597,1.033
80,2.5,0,2.77,0.67,20,1.364,1.020
80,3.1,0,3.12,0.69,20,1.388,1.021
80,4.1,0,3.63,0.73,20,1.420,1.022
80,5.1,0,4.08,0.75,20,1.446,1.023
80,3.1,0.1,4.66,0.78,20,1.476,1.024
80,4.1,0.1,4.99,0.80,20,1.491,1.025
80,3.1,0.2,5.71,0.84,20,1.522,1.027
80,4.1,0.2,5.94,0.85,20,1.531,1.028
80,2.5,0.3,6.36,0.87,20,1.546,1.030
80,3.1,0.3,6.47,0.87,20,1.550,1.030
80,3.1,0.6,7.88,0.93,20,1.589,1.036
80,2.5,0.9,8.66,0.95,20,1.604,1.040
80,3.1,0.9,8.69,0.95,20,1.605,1.040
90,2.5,0,3.14,0.65,20,1.389,1.023
90,3.1,0,3.53,0.68,20,1.412,1.024
90,4.1,0,4.10,0.71,20,1.443,1.025
90,5.1,0,4.59,0.74,20,1.467,1.026
90,3.1,0.1,5.24,0.78,20,1.495,1.028
90,4.1,0.1,5.60,0.80,20,1.509,1.029
90,3.1,0.2,6.38,0.83,20,1.536,1.032
90,4.1,0.2,6.62,0.85,20,1.544,1.033
90,2.5,0.3,7.07,0.87,20,1.557,1.035
90,3.1,0.3,7.18,0.87,20,1.560,1.035
90,3.1,0.6,8.66,0.93,20,1.591,1.042
90,2.5,0.9,9.45,0.95,20,1.600,1.046
90,3.1,0.9,9.48,0.95,20,1.601,1.046
100,2.5,0,3.52,0.64,20,1.408,1.025
100,3.1,0,3.95,0.67,20,1.431,1.026
100,4.1,0,4.57,0.70,20,1.460,1.028
100,5.1,0,5.09,0.74,20,1.482,1.030
100,3.1,0.1,5.79,0.77,20,1.507,1.032
100,4.1,0.1,6.17,0.79,20,1.520,1.033
100,3.1,0.2,6.97,0.83,20,1.544,1.036
100,4.1,0.2,7.23,0.85,20,1.550,1.037
100,2.5,0.3,7.69,0.87,20,1.561,1.039
100,3.1,0.3,7.81,0.87,20,1.564,1.040
100,3.1,0.6,9.30,0.93,20,1.586,1.047
100,2.5,0.9,10.10,0.95,20,1.591,1.051
100,3.1,0.9,10.14,0.95,20,1.591,1.051
110,2.5,0,3.91,0.63,20,1.424,1.028
110,3.1,0,4.37,0.66,20,1.445,1.029
110,4.1,0,5.02,0.70,20,1.472,1.031
110,5.1,0,5.57,0.73,20,1.492,1.033
110,3.1,0.1,6.30,0.77,20,1.515,1.035
110,4.1,0.1,6.69,0.79,20,1.526,1.037
110,3.1,0.2,7.51,0.83,20,1.546,1.040
110,4.1,0.2,7.77,0.85,20,1.552,1.041
110,2.5,0.3,8.23,0.87,20,1.560,1.043
110,3.1,0.3,8.35,0.87,20,1.562,1.043
110,3.1,0.6,9.85,0.93,20,1.578,1.051
110,2.5,0.9,10.67,0.95,20,1.578,1.055
110,3.1,0.9,10.70,0.95,20,1.578,1.056
120,2.5,0,4.31,0.63,20,1.436,1.031
120,3.1,0,4.79,3.29,20,1.455,1.032
120,4.1,0,5.47,0.70,20,1.480,1.034
120,5.1,0,6.04,0.74,20,1.498,1.036
120,3.1,0.1,6.78,4.47,20,1.519,1.039
120,4.1,0.1,7.18,0.80,20,1.528,1.040
120,3.1,0.2,8.01,5.18,20,1.545,1.043
120,4.1,0.2,8.27,0.85,20,1.550,1.044
120,2.5,0.3,8.73,0.87,20,1.557,1.046
120,3.1,0.3,8.85,5.68,20,1.558,1.047
120,3.1,0.6,10.34,6.60,20,1.568,1.054
120,2.5,0.9,11.17,0.95,20,1.565,1.059
120,3.1,0.9,11.21,7.16,20,1.564,1.059
130,2.5,0,4.71,0.63,20,1.445,1.033
130,3.1,0,5.21,3.56,20,1.463,1.035
130,4.1,0,5.91,0.71,20,1.486,1.037
130,5.1,0,6.49,0.74,20,1.502,1.039
130,3.1,0.1,7.24,4.76,20,1.520,1.041
130,4.1,0.1,7.63,0.80,20,1.528,1.043
130,3.1,0.2,8.46,5.49,20,1.542,1.046
130,4.1,0.2,8.72,0.85,20,1.546,1.047
130,2.5,0.3,9.18,0.87,20,1.551,1.050
130,3.1,0.3,9.30,5.99,20,1.552,1.050
130,3.1,0.6,10.79,6.93,20,1.557,1.058
130,2.5,0.9,11.62,0.94,20,1.551,1.062
130,3.1,0.9,11.66,7.52,20,1.550,1.063
140,2.5,0,5.11,0.64,20,1.453,1.036
140,3.1,0,5.62,3.83,20,1.469,1.037
140,4.1,0,6.34,0.71,20,1.489,1.040
140,5.1,0,6.92,0.74,20,1.503,1.042
140,3.1,0.1,7.67,5.05,20,1.519,1.044
140,4.1,0.1,8.07,0.80,20,1.526,1.046
140,3.1,0.2,8.89,5.78,20,1.538,1.049
140,4.1,0.2,9.14,0.85,20,1.540,1.050
140,2.5,0.3,9.59,0.87,20,1.544,1.052
140,3.1,0.3,9.71,6.29,20,1.545,1.053
140,3.1,0.6,11.20,7.25,20,1.545,1.061
140,2.5,0.9,12.04,0.94,20,1.537,1.065
140,3.1,0.9,12.09,7.87,20,1.536,1.066
150,2.5,0,5.52,0.64,20,1.458,1.038
150,3.1,0,6.04,4.10,20,1.472,1.040
