kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
25,3.7000000000000015,0.4,1,11,1.2009714913973202
25,3.7000000000000015,0.9,1,11,1.2900660110600743
25,3.8000000000000016,0.0,0,11,0.8397258293626904
25,3.8000000000000016,0.1,0,11,1.0022539846361176
25,3.8000000000000016,0.4,0,11,1.191925956499852
25,3.8000000000000016,0.9,0,11,1.2874293900859284
25,3.8000000000000016,0.0,1,11,0.9035512018127935
25,3.8000000000000016,0.1,1,11,1.0353234202397446
25,3.8000000000000016,0.4,1,11,1.2019309895677417
25,3.8000000000000016,0.9,1,11,1.2903495299202477
25,3.9000000000000017,0.0,0,11,0.8468980406893493
25,3.9000000000000017,0.1,0,11,1.0058335708286936
25,3.9000000000000017,0.4,0,11,1.1929689855780825
25,3.9000000000000017,0.9,0,11,1.2877300678002106
25,3.9000000000000017,0.0,1,11,0.9090954039817302
25,3.9000000000000017,0.1,1,11,1.0383272566633706
25,3.9000000000000017,0.4,1,11,1.2028818178872307
25,3.9000000000000017,0.9,1,11,1.2906312112877008
25,4.000000000000002,0.0,0,11,0.8538736354365764
25,4.000000000000002,0.1,0,11,1.0093477709993155
25,4.000000000000002,0.4,0,11,1.1940022147112068
25,4.000000000000002,0.9,0,11,1.2880287821437275
25,4.000000000000002,0.0,1,11,0.9145106517336012
25,4.000000000000002,0.1,1,11,1.041281867828895
25,4.000000000000002,0.4,1,11,1.2038240901315735
25,4.000000000000002,0.9,1,11,1.2909110685003597
25,4.100000000000001,0.0,0,11,0.8606614299051356
25,4.100000000000001,0.1,0,11,1.0127985165783606
25,4.100000000000001,0.4,0,11,1.1950257796491435
25,4.100000000000001,0.9,0,11,1.2883255476425217
25,4.100000000000001,0.0,1,11,0.9198017852342514
25,4.100000000000001,0.1,1,11,1.0441885459433604
25,4.100000000000001,0.4,1,11,1.2047579179308776
25,4.100000000000001,0.9,1,11,1.2911891147725045
25,4.200000000000002,0.0,0,11,0.8672696790148368
25,4.200000000000002,0.1,0,11,1.0161876585175846
25,4.200000000000002,0.4,0,11,1.1960398134402357
25,4.200000000000002,0.9,0,11,1.2886203786835655
25,4.200000000000002,0.0,1,11,0.9249733903154415
25,4.200000000000002,0.1,1,11,1.0470485355716255
25,4.200000000000002,0.4,1,11,1.2056834108222747
25,4.200000000000002,0.9,1,11,1.291465363196369
25,4.3000000000000025,0.0,0,11,0.8737061236825486
25,4.3000000000000025,0.1,0,11,1.019516986804773
25,4.3000000000000025,0.4,0,11,1.197044446501147
25,4.3000000000000025,0.9,0,11,1.2889132895166058
25,4.3000000000000025,0.0,1,11,0.9300298162745669
25,4.3000000000000025,0.1,1,11,1.0498630359035013
25,4.3000000000000025,0.4,1,11,1.2066006763010337
25,4.3000000000000025,0.9,1,11,1.2917398267436997
25,4.400000000000002,0.0,0,11,0.8799780330575594
25,4.400000000000002,0.1,0,11,1.02278817415787
25,4.400000000000002,0.4,0,11,1.19803980668451
25,4.400000000000002,0.9,0,11,1.2892042942559276
25,4.400000000000002,0.0,1,11,0.9349751910068148
25,4.400000000000002,0.1,1,11,1.0526332028878893
25,4.400000000000002,0.4,1,11,1.2075098198701644
25,4.400000000000002,0.9,1,11,1.2920125182672682
25,4.500000000000002,0.0,0,11,0.8860922336960807
25,4.500000000000002,0.1,0,11,1.0260028709032598
25,4.500000000000002,0.4,0,11,1.1990260193444668
25,4.500000000000002,0.9,0,11,1.28949340688217
25,4.500000000000002,0.0,1,11,0.9398134358244914
25,4.500000000000002,0.1,1,11,1.0553601512432638
25,4.500000000000002,0.4,1,11,1.2084109450885363
25,4.500000000000002,0.9,1,11,1.292283450502371
25,4.600000000000002,0.0,0,11,0.8920551779875308
25,4.600000000000002,0.1,0,11,1.0291626498707869
25,4.600000000000002,0.4,0,11,1.200003207400177
25,4.600000000000002,0.9,0,11,1.2897806412440458
25,4.600000000000002,0.0,1,11,0.9445482788134334
25,4.600000000000002,0.1,1,11,1.0580449515389623
25,4.600000000000002,0.4,1,11,1.209304153617584
25,4.600000000000002,0.9,1,11,1.2925526360683064
25,4.700000000000003,0.0,0,11,0.8978729318125636
25,4.700000000000003,0.1,0,11,1.0322690162237889
25,4.700000000000003,0.4,0,11,1.2009714913973228
25,4.700000000000003,0.9,0,11,1.2900660110600723
25,4.700000000000003,0.0,1,11,0.9491832671252918
25,4.700000000000003,0.1,1,11,1.0606886589999251
25,4.700000000000003,0.4,1,11,1.2101895452666536
25,4.700000000000003,0.9,1,11,1.2928200874698517
25,4.8000000000000025,0.0,0,11,0.9035512018127936
25,4.8000000000000025,0.1,0,11,1.0353234202397452
25,4.8000000000000025,0.4,0,11,1.2019309895677401
25,4.8000000000000025,0.9,0,11,1.290349529920245
25,4.8000000000000025,0.0,1,11,0.9537217783068963
25,4.8000000000000025,0.1,1,11,1.0632922567198306
25,4.8000000000000025,0.4,1,11,1.211067218037013
25,4.8000000000000025,0.9,1,11,1.2930858170986328
25,4.900000000000002,0.0,0,11,0.9090954039817302
25,4.900000000000002,0.1,0,11,1.0383272566633706
25,4.900000000000002,0.4,0,11,1.2028818178872307
25,4.900000000000002,0.9,0,11,1.2906312112877008
25,4.900000000000002,0.0,1,11,0.9581670307566024
25,4.900000000000002,0.1,1,11,1.0658567177353526
25,4.900000000000002,0.4,1,11,1.211937268164595
25,4.900000000000002,0.9,1,11,1.2933498372345935
25,5.000000000000003,0.0,0,11,0.9145106517336015
25,5.000000000000003,0.1,0,11,1.0412818678288966
25,5.000000000000003,0.4,0,11,1.203824090131572
25,5.000000000000003,0.9,0,11,1.2909110685003644
25,5.000000000000003,0.0,1,11,0.9625220933876999
25,5.000000000000003,0.1,1,11,1.0683829703649352
