kvp_kv,filtration_inherent_mmal,filtration_added_mmcu,filtration_added_mmal,anode_angle_deg,hvl_mmal
25,3.9000000000000017,0.3,0,8,1.1542124343473388
25,3.9000000000000017,0.6,0,8,1.2459567913637477
25,3.9000000000000017,0.9,0,8,1.2881644386549467
25,4.000000000000002,0.0,0,8,0.8581219832445193
25,4.000000000000002,0.1,0,8,1.012091281733509
25,4.000000000000002,0.2,0,8,1.0992126085919407
25,4.000000000000002,0.3,0,8,1.155638571806015
25,4.000000000000002,0.6,0,8,1.2465481677236248
25,4.000000000000002,0.9,0,8,1.2884606134281893
25,4.100000000000001,0.0,0,8,0.8648366079817638
25,4.100000000000001,0.1,0,8,1.015509754818915
25,4.100000000000001,0.2,0,8,1.1012991633561342
25,4.100000000000001,0.3,0,8,1.1570490643495124
25,4.100000000000001,0.6,0,8,1.2471350673765664
25,4.100000000000001,0.9,0,8,1.28875485446891
25,4.200000000000002,0.0,0,8,0.8713741695924148
25,4.200000000000002,0.1,0,8,1.0188673477806096
25,4.200000000000002,0.2,0,8,1.1033576638672302
25,4.200000000000002,0.3,0,8,1.1584441753859511
25,4.200000000000002,0.6,0,8,1.2477175350303886
25,4.200000000000002,0.9,0,8,1.2890471760581557
25,4.3000000000000025,0.0,0,8,0.8777422809810281
25,4.3000000000000025,0.1,0,8,1.0221658247721879
25,4.3000000000000025,0.2,0,8,1.1053887067588795
25,4.3000000000000025,0.3,0,8,1.1598241619994358
25,4.3000000000000025,0.6,0,8,1.2482956147568351
25,4.3000000000000025,0.9,0,8,1.2893375923408479
25,4.400000000000002,0.0,0,8,0.8839480833672161
25,4.400000000000002,0.1,0,8,1.0254068338171676
25,4.400000000000002,0.2,0,8,1.107392870715729
25,4.400000000000002,0.3,0,8,1.1611892751461725
25,4.400000000000002,0.6,0,8,1.2488693500036714
25,4.400000000000002,0.9,0,8,1.289626117327558
25,4.500000000000002,0.0,0,8,0.8899983177430105
25,4.500000000000002,0.1,0,8,1.0285920052388051
25,4.500000000000002,0.2,0,8,1.109370717170511
25,4.500000000000002,0.3,0,8,1.1625397598431488
25,4.500000000000002,0.6,0,8,1.249438783606502
25,4.500000000000002,0.9,0,8,1.2899127648962672
25,4.600000000000002,0.0,0,8,0.8958993067632713
25,4.600000000000002,0.1,0,8,1.0317228828464258
25,4.600000000000002,0.2,0,8,1.1113227909678156
25,4.600000000000002,0.3,0,8,1.163875855349685
25,4.600000000000002,0.6,0,8,1.250003957800306
25,4.600000000000002,0.9,0,8,1.290197548794099
25,4.700000000000003,0.0,0,8,0.901657027481347
25,4.700000000000003,0.1,0,8,1.034800953778101
25,4.700000000000003,0.2,0,8,1.1132496209964373
25,4.700000000000003,0.3,0,8,1.1651977953422175
25,4.700000000000003,0.6,0,8,1.2505649142307165
25,4.700000000000003,0.9,0,8,1.290480482639013
25,4.8000000000000025,0.0,0,8,0.9072770954513016
25,4.8000000000000025,0.1,0,8,1.0378276478072153
25,4.8000000000000025,0.2,0,8,1.1151517207920607
25,4.8000000000000025,0.3,0,8,1.1665058080825523
25,4.8000000000000025,0.6,0,8,1.2511216939650198
25,4.8000000000000025,0.9,0,8,1.2907615799214904
25,4.900000000000002,0.0,0,8,0.9127648412549803
25,4.900000000000002,0.1,0,8,1.0408043404980176
25,4.900000000000002,0.2,0,8,1.1170295891119888
25,4.900000000000002,0.3,0,8,1.1678001165799496
25,4.900000000000002,0.6,0,8,1.251674337502927
25,4.900000000000002,0.9,0,8,1.291040854006137
25,5.000000000000003,0.0,0,8,0.9181252981576291
25,5.000000000000003,0.1,0,8,1.043732355588416
25,5.000000000000003,0.2,0,8,1.1188837104834055
25,5.000000000000003,0.3,0,8,1.1690809387472467
25,5.000000000000003,0.6,0,8,1.2522228847870878
25,5.000000000000003,0.9,0,8,1.2913183181333592
26,2.0,0.0,0,8,0.7111199139765872
26,2.0,0.1,0,8,1.001549445306434
26,2.0,0.2,0,8,1.1420591580975332
26,2.0,0.3,0,8,1.2267163625661597
26,2.0,0.6,0,8,1.356195182508926
26,2.0,0.9,0,8,1.4152434688302946
26,2.1,0.0,0,8,0.7257075184947783
26,2.1,0.1,0,8,1.0073605727370805
26,2.1,0.2,0,8,1.1452658038776613
26,2.1,0.3,0,8,1.2287740877193232
26,2.1,0.6,0,8,1.357011420286296
26,2.1,0.9,0,8,1.4156610474572104
26,2.2,0.0,0,8,0.7396760842156368
26,2.2,0.1,0,8,1.0130406261388094
26,2.2,0.2,0,8,1.148422294245568
26,2.2,0.3,0,8,1.2308070183356472
26,2.2,0.6,0,8,1.3578214834932048
26,2.2,0.9,0,8,1.4160760815962352
26,2.3000000000000003,0.0,0,8,0.7530758752927375
26,2.3000000000000003,0.1,0,8,1.0185945634425364
26,2.3000000000000003,0.2,0,8,1.1515299120817335
26,2.3000000000000003,0.3,0,8,1.2328156311949947
26,2.3000000000000003,0.6,0,8,1.3586254385938932
26,2.3000000000000003,0.9,0,8,1.4164885904634394
26,2.4000000000000004,0.0,0,8,0.765950371218157
26,2.4000000000000004,0.1,0,8,1.0240270280774826
26,2.4000000000000004,0.2,0,8,1.1545898931887293
26,2.4000000000000004,0.3,0,8,1.2348003899366329
26,2.4000000000000004,0.6,0,8,1.3594233510271114
26,2.4000000000000004,0.9,0,8,1.4168985930765823
26,2.5000000000000004,0.0,0,8,0.7783375736354656
26,2.5000000000000004,0.1,0,8,1.0293424661751367
26,2.5000000000000004,0.2,0,8,1.1576034287135752
26,2.5000000000000004,0.3,0,8,1.2367617455588549
26,2.5000000000000004,0.6,0,8,1.3602152852270433
26,2.5000000000000004,0.9,0,8,1.4173061082578609
26,2.6000000000000005,0.0,0,8,0.790270981107656
26,2.6000000000000005,0.1,0,8,1.0345450651673271
